Id,Date,Time,TotalIntensity,AverageIntensity,,
1503960366,4-13-2016,00:00:00,25,0.3,,
1503960366,4-13-2016,01:00:00,8,0.1,, 
1503960366,4-13-2016,02:00:00,7,0.1,,
1503960366,4-13-2016,03:00:00,0,0,,
1503960366,4-13-2016,04:00:00,0,0,,
1503960366,4-13-2016,05:00:00,0,0,,
1503960366,4-13-2016,06:00:00,0,0,,
1503960366,4-13-2016,07:00:00,0,0,,
1503960366,4-13-2016,08:00:00,13,0.2,,
1503960366,4-13-2016,09:00:00,30,0.5,,
1503960366,4-13-2016,10:00:00,29,0.5,,
1503960366,4-13-2016,11:00:00,12,0.2,,
1503960366,4-13-2016,12:00:00,11,0.2,,
1503960366,4-13-2016,13:00:00,6,0.1,,
1503960366,4-13-2016,14:00:00,36,0.6,,
1503960366,4-13-2016,15:00:00,58,1,,
1503960366,4-13-2016,16:00:00,13,0.2,,
1503960366,4-13-2016,17:00:00,16,0.3,,
1503960366,4-13-2016,18:00:00,29,0.5,,
1503960366,4-13-2016,19:00:00,39,0.7,,
1503960366,4-13-2016,20:00:00,41,0.7,,
1503960366,4-13-2016,21:00:00,31,0.5,,
1503960366,4-13-2016,22:00:00,9,0.2,,
1503960366,4-13-2016,23:00:00,21,0.4,,
1503960366,4-14-2016,00:00:00,14,0.2,,
1503960366,4-14-2016,01:00:00,0,0,,
1503960366,4-14-2016,02:00:00,0,0,,
1503960366,4-14-2016,03:00:00,4,0.1,,
1503960366,4-14-2016,04:00:00,0,0,,
1503960366,4-14-2016,05:00:00,0,0,,
1503960366,4-14-2016,06:00:00,0,0,,
1503960366,4-14-2016,07:00:00,8,0.1,,
1503960366,4-14-2016,08:00:00,12,0.2,,
1503960366,4-14-2016,09:00:00,27,0.5,,
1503960366,4-14-2016,10:00:00,15,0.3,,
1503960366,4-14-2016,11:00:00,16,0.3,,
1503960366,4-14-2016,12:00:00,15,0.3,,
1503960366,4-14-2016,13:00:00,10,0.2,,
1503960366,4-14-2016,14:00:00,46,0.8,,
1503960366,4-14-2016,15:00:00,13,0.2,,
1503960366,4-14-2016,16:00:00,10,0.2,,
1503960366,4-14-2016,17:00:00,23,0.4,,
1503960366,4-14-2016,18:00:00,25,0.4,,
1503960366,4-14-2016,19:00:00,13,0.2,,
1503960366,4-14-2016,20:00:00,0,0,,
1503960366,4-14-2016,21:00:00,0,0,,
1503960366,4-14-2016,22:00:00,11,0.2,,
1503960366,4-14-2016,23:00:00,56,0.9,,
1503960366,4-15-2016,00:00:00,4,0.1,,
1503960366,4-15-2016,01:00:00,3,0.1,,
1503960366,4-15-2016,02:00:00,0,0,,
1503960366,4-15-2016,03:00:00,0,0,,
1503960366,4-15-2016,04:00:00,0,0,,
1503960366,4-15-2016,05:00:00,0,0,,
1503960366,4-15-2016,06:00:00,0,0,,
1503960366,4-15-2016,07:00:00,0,0,,
1503960366,4-15-2016,08:00:00,0,0,,
1503960366,4-15-2016,09:00:00,14,0.2,,
1503960366,4-15-2016,10:00:00,23,0.4,,
1503960366,4-15-2016,11:00:00,7,0.1,,
1503960366,4-15-2016,12:00:00,18,0.3,,
1503960366,4-15-2016,13:00:00,54,0.9,,
1503960366,4-15-2016,14:00:00,22,0.4,,
1503960366,4-15-2016,15:00:00,7,0.1,,
1503960366,4-15-2016,16:00:00,25,0.4,,
1503960366,4-15-2016,17:00:00,5,0.1,,
1503960366,4-15-2016,18:00:00,12,0.2,,
1503960366,4-15-2016,19:00:00,1,0,,
1503960366,4-15-2016,20:00:00,24,0.4,,
1503960366,4-15-2016,21:00:00,57,1,,
1503960366,4-15-2016,22:00:00,17,0.3,,
1503960366,4-15-2016,23:00:00,0,0,,
1503960366,4-16-2016,00:00:00,6,0.1,,
1503960366,4-16-2016,01:00:00,5,0.1,,
1503960366,4-16-2016,02:00:00,7,0.1,,
1503960366,4-16-2016,03:00:00,0,0,,
1503960366,4-16-2016,04:00:00,0,0,,
1503960366,4-16-2016,05:00:00,1,0,,
1503960366,4-16-2016,06:00:00,0,0,,
1503960366,4-16-2016,07:00:00,1,0,,
1503960366,4-16-2016,08:00:00,5,0.1,,
1503960366,4-16-2016,09:00:00,2,0,,
1503960366,4-16-2016,10:00:00,8,0.1,,
1503960366,4-16-2016,11:00:00,23,0.4,,
1503960366,4-16-2016,12:00:00,13,0.2,,
1503960366,4-16-2016,13:00:00,9,0.2,,
1503960366,4-16-2016,14:00:00,0,0,,
1503960366,4-16-2016,15:00:00,0,0,,
1503960366,4-16-2016,16:00:00,0,0,,
1503960366,4-16-2016,17:00:00,47,0.8,,
1503960366,4-16-2016,18:00:00,22,0.4,,
1503960366,4-16-2016,19:00:00,32,0.5,,
1503960366,4-16-2016,20:00:00,8,0.1,,
1503960366,4-16-2016,21:00:00,14,0.2,,
1503960366,4-16-2016,22:00:00,66,1.1,,
1503960366,4-16-2016,23:00:00,95,1.6,,
1503960366,4-17-2016,00:00:00,15,0.3,,
1503960366,4-17-2016,01:00:00,0,0,,
1503960366,4-17-2016,02:00:00,3,0.1,,
1503960366,4-17-2016,03:00:00,1,0,,
1503960366,4-17-2016,04:00:00,1,0,,
1503960366,4-17-2016,05:00:00,1,0,,
1503960366,4-17-2016,06:00:00,0,0,,
1503960366,4-17-2016,07:00:00,4,0.1,,
1503960366,4-17-2016,08:00:00,9,0.2,,
1503960366,4-17-2016,09:00:00,38,0.6,,
1503960366,4-17-2016,10:00:00,14,0.2,,
1503960366,4-17-2016,11:00:00,30,0.5,,
1503960366,4-17-2016,12:00:00,42,0.7,,
1503960366,4-17-2016,13:00:00,90,1.5,,
1503960366,4-17-2016,14:00:00,20,0.3,,
1503960366,4-17-2016,15:00:00,0,0,,
1503960366,4-17-2016,16:00:00,2,0,,
1503960366,4-17-2016,17:00:00,17,0.3,,
1503960366,4-17-2016,18:00:00,10,0.2,,
1503960366,4-17-2016,19:00:00,12,0.2,,
1503960366,4-17-2016,20:00:00,19,0.3,,
1503960366,4-17-2016,21:00:00,13,0.2,,
1503960366,4-17-2016,22:00:00,3,0.1,,
1503960366,4-17-2016,23:00:00,5,0.1,,
1503960366,4-18-2016,00:00:00,0,0,,
1503960366,4-18-2016,01:00:00,0,0,,
1503960366,4-18-2016,02:00:00,0,0,,
1503960366,4-18-2016,03:00:00,1,0,,
1503960366,4-18-2016,04:00:00,0,0,,
1503960366,4-18-2016,05:00:00,0,0,,
1503960366,4-18-2016,06:00:00,0,0,,
1503960366,4-18-2016,07:00:00,0,0,,
1503960366,4-18-2016,08:00:00,0,0,,
1503960366,4-18-2016,09:00:00,0,0,,
1503960366,4-18-2016,10:00:00,0,0,,
1503960366,4-18-2016,11:00:00,9,0.2,,
1503960366,4-18-2016,12:00:00,18,0.3,,
1503960366,4-18-2016,13:00:00,23,0.4,,
1503960366,4-18-2016,14:00:00,10,0.2,,
1503960366,4-18-2016,15:00:00,13,0.2,,
1503960366,4-18-2016,16:00:00,2,0,,
1503960366,4-18-2016,17:00:00,71,1.2,,
1503960366,4-18-2016,18:00:00,39,0.7,,
1503960366,4-18-2016,19:00:00,24,0.4,,
1503960366,4-18-2016,20:00:00,87,1.5,,
1503960366,4-18-2016,21:00:00,16,0.3,,
1503960366,4-18-2016,22:00:00,5,0.1,,
1503960366,4-18-2016,23:00:00,0,0,,
1503960366,4-19-2016,00:00:00,21,0.4,,
1503960366,4-19-2016,01:00:00,0,0,,
1503960366,4-19-2016,02:00:00,0,0,,
1503960366,4-19-2016,03:00:00,0,0,,
1503960366,4-19-2016,04:00:00,0,0,,
1503960366,4-19-2016,05:00:00,0,0,,
1503960366,4-19-2016,06:00:00,0,0,,
1503960366,4-19-2016,07:00:00,0,0,,
1503960366,4-19-2016,08:00:00,0,0,,
1503960366,4-19-2016,09:00:00,39,0.7,,
1503960366,4-19-2016,10:00:00,17,0.3,,
1503960366,4-19-2016,11:00:00,15,0.3,,
1503960366,4-19-2016,12:00:00,40,0.7,,
1503960366,4-19-2016,13:00:00,9,0.2,,
1503960366,4-19-2016,14:00:00,7,0.1,,
1503960366,4-19-2016,15:00:00,14,0.2,,
1503960366,4-19-2016,16:00:00,17,0.3,,
1503960366,4-19-2016,17:00:00,18,0.3,,
1503960366,4-19-2016,18:00:00,114,1.9,,
1503960366,4-19-2016,19:00:00,30,0.5,,
1503960366,4-19-2016,20:00:00,2,0,,
1503960366,4-19-2016,21:00:00,11,0.2,,
1503960366,4-19-2016,22:00:00,19,0.3,,
1503960366,4-19-2016,23:00:00,18,0.3,,
1503960366,4-20-2016,00:00:00,0,0,,
1503960366,4-20-2016,01:00:00,1,0,,
1503960366,4-20-2016,02:00:00,0,0,,
1503960366,4-20-2016,03:00:00,2,0,,
1503960366,4-20-2016,04:00:00,0,0,,
1503960366,4-20-2016,05:00:00,0,0,,
1503960366,4-20-2016,06:00:00,1,0,,
1503960366,4-20-2016,07:00:00,19,0.3,,
1503960366,4-20-2016,08:00:00,38,0.6,,
